	PD_whole_tree	chao1	observed_otus
515rcbc32	170.25178	4736.15234375	3687.0
515rcbc25	179.76451	4699.9607438	3792.0
515rcbc16	218.05705	6328.11428571	5186.0
515rcbc34	169.24556	4215.30208333	3436.0
515rcbc29	232.69334	6744.8442623	5460.0
515rcbc11	189.47614	5158.98964497	4324.0
515rcbc31	201.8123	6115.11659193	4802.0
515rcbc33	189.53697	5302.3847487	4270.0
515rcbc10	210.45473	5905.38983051	4898.0
515rcbc9	177.83785	4808.92982456	3692.0
515rcbc8	160.12135	4023.29540918	3185.0
515rcbc12	374.71503	12429.9228876	10460.0
515rcbc27	177.83446	4406.62564103	3649.0
515rcbc19	221.51029	6692.03162651	5377.0
515rcbc30	220.18445	5931.62480377	4747.0
515rcbc23	179.7086	4737.12947189	3857.0
515rcbc22	207.03345	5916.51020408	4789.0
515rcbc28	197.44625	5358.36044657	4341.0
515rcbc37	177.46185	4544.74440895	3814.0
515rcbc17	201.12363	5531.1875	4466.0
515rcbc14	189.03263	5328.87551867	4171.0
515rcbc35	188.9488	4770.61231281	3842.0
515rcbc18	198.47392	5663.06153846	4476.0
515rcbc13	158.085	3983.57894737	3154.0
515rcbc36	139.23199	3389.86462882	2589.0
515rcbc15	182.18735	4917.74558304	3976.0
515rcbc24	223.45582	6191.31621188	5025.0
515rcbc21	184.28737	4656.78927911	3813.0
515rcbc26	205.51545	5224.27993255	4276.0
515rcbc20	33.39817	608.679012346	348.0
